RT,SMILES,DOI,Formula
13.92,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccccc3,0.0,C15H10O4
12.4988666666667,O=C1C=C(Oc2ccc(O)cc12)c3ccccc3,0.0,C15H10O3
11.2462666666667,O=C1C=C(Oc2cc(O)ccc12)c3ccccc3,0.0,C15H10O3
16.54,O=C1C(O)=C(Oc2ccccc21)c3ccccc3,0.0,C15H10O3
10.87,O=C1C=C(Oc2ccccc12)c3ccc(O)cc3,0.0,C15H10O3
7.17875,O=C1C=C(Oc2cc(O)ccc12)c3ccc(O)cc3,0.0,C15H10O4
9.68061666666667,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3,0.0,C15H10O5
8.18,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3,0.0,C15H10O6
18.1763333333333,O=C1C=C(Oc2cccc(O)c12)c3ccccc3,0.0,C15H10O3
12.68,O=C1C=C(Oc2ccccc12)c3ccccc3O,0.0,C15H10O3
10.57,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(OC)c(O)c3,0.0,C16H12O6
14.71,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(OC)cc3,0.0,C16H12O6
11.57,O=C1C=C(Oc2cc(O)ccc12)c3ccc(OC)cc3,0.0,C16H12O4
11.43,O=C1C=C(Oc2cc(O)c(O)c(O)c12)c3ccccc3,0.0,C15H10O5
6.5,O=C1C=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3,0.0,C15H10O7
8.8,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(O)c(O)c3,0.0,C16H12O7
4.6,O=C1C=C(Oc2cc(O)ccc12)c3cc(O)c(O)c(O)c3,0.0,C15H10O6
17.25,O=C1C(O)=C(Oc2cc(OC)ccc21)c3ccc(OC)cc3,0.0,C17H14O5
6.9,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3O,0.0,C15H10O7
10.41,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(OC)c3,0.0,C16H12O6
6.36,O=C1C(O)=C(Oc2cc(O)ccc12)c3ccc(O)c(O)c3,0.0,C15H10O6
9.81,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3,0.0,C15H10O6
6.07,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3,0.0,C15H10O8
8.06,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3,0.0,C15H10O7
11.89,O=C1C=C(Oc2cc(O)ccc12)c3ccccc3OC,0.0,C16H12O4
4.65,O=C1C(O)=C(Oc2cc(O)ccc12)c3cc(O)c(O)c(O)c3,0.0,C15H10O7
6.78,O=C1C(O)=C(Oc2ccc(O)cc12)c3ccc(O)c(O)c3,0.0,C15H10O6
7.92,O=C1C(O)=C(Oc2ccc(O)cc12)c3cccc(O)c3O,0.0,C15H10O6
11.48,O=C1C=C(Oc2cc(OC)ccc12)c3ccc(O)cc3,0.0,C16H12O4
14.52,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccccc3OC,0.0,C16H12O5
18.47,O=C1C=C(Oc2cc(OC)cc(O)c12)c3cc(OC)c(OC)c(OC)c3,0.0,C19H18O7
16.88,O=C1C=C(Oc2ccc(OC)c(O)c12)c3c(OC)cccc3OC,0.0,C18H16O6
9.22,O=C1C=C(Oc2ccccc12)c3ccc(O)c(O)c3,0.0,C15H10O4
18.89,O=C1C=C(Oc2cc(OC)cc(O)c12)c3ccccc3,0.0,C16H12O4
20.41,O=C1C(OC)=C(Oc2cc(OC)cc(O)c12)c3ccc(OC)cc3,0.0,C18H16O6
12.41,O=C1C=C(Oc2cc(O)ccc12)c3ccc(OC)c(OC)c3,0.0,C17H14O5
12.01,O=C1C=C(Oc2cc(O)ccc12)c3cccc(OC)c3,0.0,C16H12O4
11.76,O=C1C=C(Oc2cccc(O)c12)c3ccc(O)c(O)c3,0.0,C15H10O5
13.47,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(OC)c(OC)c3,0.0,C18H16O7
10.35,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(O)cc3,0.0,C16H12O6
14.7,O=C1C=C(Oc2c(OC)c(O)c(OC)c(O)c12)c3ccc(OC)cc3,0.0,C18H16O7
7.13,O=C1C=C(Oc2cc(O)c(O)c(O)c12)c3ccc(O)cc3,0.0,C15H10O6
12.04,O=C1C=C(Oc2c(OC)c(O)c(OC)c(O)c12)c3cc(O)c(OC)c(OC)c3,0.0,C19H18O9
8.98,O=C1C=C(Oc2cc(OC)c(O)c(O)c12)c3ccc(O)cc3,0.0,C16H12O6
14.47,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccccc3,0.0,C15H10O5
7.97,O=C1C(O)=C(Oc2cc(O)ccc12)c3ccc(O)cc3,0.0,C15H10O5
14.58,O=C1C=C(Oc2cc(OC)cc(O)c12)c3ccc(O)cc3,0.0,C16H12O5
11.34,O=C1C=C(Oc2ccccc12)c3cccc(O)c3,0.0,C15H10O3
13.52,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(OC)cc3,0.0,C16H12O5
6.41,O=C1C(O)=C(Oc2ccc(O)cc12)c3ccc(O)cc3O,0.0,C15H10O6
13.46,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccccc3,0.0,C16H12O5
